# 科目|章.节|讲义PDF页码(起-止)|考点|学习要点。人工整理，生成器不会从题目或关键词推断章名。
科目一|4.1|49-50|国际化与风险准备金|国际化业务包括QDII、互联互通、基金互认等渠道。管理人按规定计提风险准备金，并遵守净资产等财务指标要求。
科目一|4.2|50-53|私募管理人登记与退出|管理人须满足登记条件并履行信息报送；区分管理人登记的撤销、注销与基金产品备案。注销或撤销登记后的存续基金仍须依法处理。
科目一|4.2|53-54|私募管理人职责与治理|实行专业化经营、利益冲突管理、财产隔离和授权控制。授权覆盖募投管退主要环节；业务外包应可控，至少每年全面评估外包风险。
科目一|4.3|54-55|托管准入与独立性|托管机构须具备合格人员、资产保管及业务系统等条件；管理人与托管人不得为同一机构，不得相互出资或者持有股份。
科目一|4.3|55-57|托管职责与终止|托管人保管资产、办理清算交割、复核净值并监督投资运作。发现违法指令应依法拒绝或报告；终止职责后应妥善交接托管财产和业务资料。
科目一|4.4|58-59|服务机构范围与准入|服务机构涵盖销售、销售支付、登记、估值核算、投资顾问、评价、信息技术以及律师、会计师事务所等；不同业务分别适用资格、注册或备案要求。
科目一|4.4|59-60|服务机构业务规范|销售结算资金与份额独立于服务机构自有财产，机构破产清算时不列入清算财产；服务机构履行勤勉及保密义务，不得转包或变相转包已经承诺的服务业务。
科目一|4.5|60-62|任职、离职与资格管理|任职与离职按岗位资格和备案要求办理；离职不免除保密义务。从业人员应遵守执业规范，在授权范围内开展业务。
科目一|4.5|62-64|证券投资申报与执业规范|公募从业人员按规定申报本人、配偶及利害关系人的证券投资账户和持仓，账户变更及时申报；不得利用未公开信息、代客违规交易或损害投资者权益。
科目一|4.5|64-66|绩效考核与薪酬|建立兼顾长期业绩、合规和风险管理的考核机制，落实薪酬递延、跟投及追索扣回等要求，防止短期激励损害投资者利益。
科目一|4.6|66-68|廉洁从业职责|经营机构承担廉洁从业管理主体责任，将相关风险纳入全面风险管理；覆盖投资交易、销售、服务采购等业务并履行报告义务。
科目一|4.6|67|利益输送禁令|不得通过礼金、礼品、回扣、不当接待或安排等谋取不正当利益；正常业务活动也应遵守公司决策流程和费用标准。
科目一|5.1|71-74|公募募集与申赎|募集须经注册；取得注册文件后6个月内发售，募集期限一般不超过3个月。区分注册、募集、备案和合同生效，申赎应遵守基金合同及相应业务规则。
科目一|5.1|75-79|销售与投资者适当性|了解投资者、了解产品、评估风险并匹配销售；专业与普通投资者适用不同保护要求。宣传材料须真实完整、有效揭示风险，不能承诺保本收益。
科目一|5.1|80-81|公募投资与交易限制|投资应遵循基金合同与法定范围、比例限制，公平对待不同组合；不得侵占挪用财产、进行利益输送或从事禁止的证券交易。
科目一|5.1|81-84|信息披露与终止清算|管理人与托管人分别履行信息披露和复核义务；募集、持续运作、重大事项及清算各有披露要求。基金终止后依法清理资产、偿债和分配剩余财产。
科目一|5.2|85-88|资管计划募集与备案|私募资管计划向合格投资者非公开募集；区分单一和集合计划。单一计划可按合同约定不聘请托管机构，但须明确财产安全措施及纠纷解决机制。
科目一|5.2|89-91|投向、运作与分级|按投向分固定收益、权益、商品及金融衍生品、混合类；按运作分开放与封闭。非标投资强调期限匹配；分级杠杆要求按产品类别分别判断。
科目一|5.2|91-93|风险、关联交易与退出|管理人建立风险管理及关联交易制度；变更合同需按约取得同意并保障退出选择权；终止后办理清算，持续履行净值与报告披露义务。
科目一|5.3|93-96|私募募集边界与流程|只向合格投资者非公开募集，禁止拼单、代持规避门槛及公开宣传。流程包括特定对象确认、适当性匹配、风险揭示、资格确认、合同签署及适用的冷静期与回访。
科目一|5.3|96-98|基金备案与变更|产品募集完毕后办理备案；备案不代表对投资价值或收益的保证。管理人登记、基金备案、基金重大事项变更是不同事项。
科目一|5.3|98-104|私募基金持续运作|覆盖投资交易、申赎登记、净值化估值、费用、信息报送、终止清算；基金名称、类型与实际投资策略应一致，不能通过备案后短期赎回规避真实募集要求。
科目一|5.4|104-105|反洗钱义务与尽调|金融机构建立反洗钱内控制度，开展客户尽职调查，识别客户及受益所有人；不能仅因出现风险而不加区分拒绝所有金融服务。
科目一|5.4|106-107|交易报告、保存与保密|履行大额和可疑交易报告义务；讲义规定客户身份资料在业务关系结束后、交易信息在交易结束后至少保存10年。依法保密并落实反洗钱特别预防措施。
科目一|6.1|109-111|合规与基本原则|合规是经营管理及执业行为与法律、规则和准则一致。建立覆盖全业务、全员的合规管理，保障独立性、权威性和有效性。
科目一|6.1|111-115|合规职责与保障|董事会审议制度与年度报告、考核合规负责人；管理层落实目标；业务部门承担本部门责任；合规部门独立组织执行。保障人员、预算、知情权和履职渠道。
科目一|6.1|115-118|合规管理活动|通过政策制定、审查、检查、咨询、培训和报告识别违规风险；重点覆盖投资、销售、信息披露及反洗钱等领域，发现问题督促整改。
科目一|6.2|118-120|风险管理体系与责任|包括识别、评估、应对、监控和报告；董事会承担最终责任，管理层组织实施，各业务部门履行直接管理职责。风险管理不等于消除一切风险。
科目一|6.2|120-122|市场、信用与流动性风险|市场风险来自价格不利波动；信用风险包括违约及信用质量下降；流动性风险包括无法合理变现及无法应付赎回。用限额、分散、评估及流动性安排管理。
科目一|6.2|122-125|操作、声誉及其他风险|操作风险来自流程、人员、系统或外部事件；声誉风险来自负面评价。洗钱和恐怖融资、子公司管控风险也应纳入全面风险管理。
科目一|6.3|125-127|内控层次、目标和原则|目标是合规经营、有效运营和可靠信息；层次包含岗位自控、部门相互制衡和独立监督。原则包括健全性、有效性、独立性、相互制约及成本效益。
科目一|6.3|127-128|内控基本要素|控制环境、风险评估、控制活动、信息与沟通、内部监控相互配合；内控文化应贯穿各部门、岗位和业务环节。
科目一|6.3|128-131|主要业务控制|研究独立客观，投资决策与交易执行分离；销售、信息披露、信息技术、会计、监察稽核和反洗钱分别建立控制制度，持续检查并改进。
科目一|7.1|133-135|职业道德建设|职业道德规范职业行为；通过立法、监督、教育、宣传、警示与个人修养共同推进。六项核心规范是守法合规、诚实守信、专业审慎、客户至上、忠诚尽责、保守秘密。
科目一|7.2|136|守法合规|既要掌握也要遵守法律法规、自律规则和所在机构内部制度；法定合规是职业道德的基本要求，但法律底线不能替代更高的道德要求。
科目一|7.3|137-139|诚实守信|不得内幕交易、利用未公开信息交易、操纵市场、欺诈客户或不正当竞争；应依据行为的实际性质区分各类违规行为。
科目一|7.4|139-140|专业水准与审慎执业|持证上岗、持续学习并保持专业胜任能力；研究、决策和执行须有合理依据，保持独立客观，充分评估风险，不能以主观判断替代尽职调查。
科目一|7.5|140-141|客户利益优先与公平对待|充分识别客户，客户利益优先于机构和个人利益；公平对待不同客户及资产组合，管理利益冲突，重视长期陪伴与客户体验。
科目一|7.6|141-142|忠诚廉洁与勤勉尽责|忠实于持有人及所在机构，避免利益冲突和不当利益；在投研、风控、运营及合规监督中履行岗位责任，维护机构和投资者合法利益。
科目一|7.7|142-143|保密范围与例外|保护国家秘密、行业和机构秘密、客户及未公开信息；依法披露、依法配合监管或经客户允许等适用例外须有依据。离职后仍负保密义务，按最小须知原则管理权限。
科目一|8.1|145-146|中国特色金融文化|诚实守信、不逾越底线；以义取利、不唯利是图；稳健审慎、不急功近利；守正创新、不脱实向虚；依法合规、不胡作非为。
科目一|8.2|146|行业文化的意义|良好文化是行业立身之本，有助于服务实体经济、稳定资本市场、防范金融风险；恪守信义义务，把客户利益置于优先地位。
科目一|8.3|146-147|公募与私募文化实践|公募倡导合规、诚信、专业、稳健；私募文化建设提出十个坚守。把文化要求落实到治理、长期激励、投资者保护和服务实体经济中。
科目一|8.4|147-150|诚信档案与监管|诚信信息涉及身份、奖惩和相关诚信事项；禁止采集宗教、基因、指纹、血型及病史等信息。依法进行采集、公开查询、更正及约束激励，区分证监会、派出机构与行业组织职责。
科目二|1.1|5-9|证券投资基金与当事人|汇集资金形成独立财产，由专业机构按合同投资，持有人按份额享受收益并承担风险。合同当事人为持有人、管理人、托管人；服务机构、监管机构、自律组织分工不同。
科目二|1.1|7-9|特点及品种比较|集合投资、专业管理、组合投资、风险分散、利益共享、风险共担、独立托管。与股票、债券、存款、理财及保险比较时，应分别看法律关系、投向和风险收益。
科目二|1.2|9-10|基金起源与全球趋势|英国1868年出现首只公认证券投资基金，美国1924年出现开放式公司型基金代表；全球基金业呈现规模增长、产品创新和跨境发展等特点。
科目二|1.3|9-10|中国基金产品演进|我国保本基金调整为避险策略基金，并出现MOM、基础设施REITs、QDII、沪深港通、债券通及ETF互挂等产品和业务创新；新时期关注科技、绿色、普惠、养老和数字金融。
科目二|2.1|10-14|基金分类的意义和标准|分类有助于投资者选择、管理人定位、评价机构比较和监管。按募集、运作、投资对象、策略、资金来源用途、交易模式及法律形式等不同标准分类，不能混用标准。
科目二|2.2|14-15|股票基金与风格|股票资产占基金资产80%以上；可按市值分大中小盘，按性质分价值与成长等风格。股票基金通过组合分散个股风险，份额净值与单只股票价格不同。
科目二|2.3|15-16|债券基金特点|债券资产占基金资产80%以上；组合收益不固定，基金没有单只债券那样的确定到期日，利率风险主要受组合久期影响，信用风险可通过分散降低。
科目二|2.4|16-18|货币市场基金|仅投资货币市场工具，包括符合期限、信用条件的存款、回购及债券等；不得投资股票、可转债等禁止品种。区分申赎型、交易型及净值表现方式。
科目二|2.5|18-19|FOF与养老目标基金|FOF将80%以上基金资产投资于其他基金，以分散风险和优化配置；目标日期基金随退休日期临近调整资产，目标风险基金保持特定风险水平。
科目二|2.6|19|混合基金|股票、债券等配置不满足单一类型基金标准，可分偏股、偏债、股债平衡及灵活配置；风险收益取决于实际配置和策略。
科目二|2.7|19-20|指数基金、ETF与联接基金|指数基金跟踪指数；ETF一级市场申赎与二级市场交易并存，可有套利机会；ETF联接基金主要投资目标ETF，不能与ETF自身交易机制混淆。
科目二|2.8|20-21|QDII产品特征|合格境内机构投资者在境内募集资金投资境外证券；可按投资模式及计价货币分类。人民币、美元或其他外汇货币可用作份额计价货币。
科目二|2.9|12|基础设施REITs|产品采用公募基金加基础设施资产支持证券结构，封闭运作、上市交易，并有强制收益分配要求；从资产性质区分产权类与特许经营权类。
科目二|2.10|13-14|其他类型与交易模式|区分LOF、上市封闭式等基金及不同交易模式；LOF通过转托管连接场内外渠道，封闭式基金存续期内不能由持有人申请赎回。
科目二|3.1|21-23|三张主要财务报表|资产负债表反映特定时点财务状况：资产＝负债＋所有者权益；利润表反映期间经营成果；现金流量表按经营、投资、筹资活动列示现金收支。
科目二|3.2|24-26|财务比率与杜邦分析|流动比率、速动比率分析短期偿债，资产负债率及利息保障倍数分析长期偿债；周转率反映营运效率。ROE＝销售利润率×总资产周转率×权益乘数。
科目二|3.2|26|财务舞弊识别|结合多期数据、现金流、异常交易及关联关系分析；报表比率受会计政策和一次性事项影响，不能单看一个指标判断企业价值。
科目二|3.3|26-29|现值、终值与利率|单利FV＝PV×(1＋r×t)，复利FV＝PV×(1＋r)^t，现值反向贴现；名义与实际收益须考虑通胀，计息期和利率口径须一致。
科目二|3.3|29|即期与远期利率|即期利率对应当前至某未来时点的零息债收益率；远期利率对应未来两个时点间的利率，可反映未来利率预期。无套利下各期限复利积累因子相互一致。
科目二|3.4|29-31|随机变量与描述统计|均值衡量集中趋势，方差和标准差衡量离散程度；中位数、分位数刻画位置。相关系数取值[-1,1]，零相关表示无线性相关，不等于独立。
科目二|4.1|31-32|资本结构与权利|债务资本需按约偿付，权益资本代表所有权；现金流量权与投票权可能不同。资本结构选择权衡融资成本、税盾与财务困境成本。
科目二|4.2|33-36|股票、存托凭证与可转债|普通股与优先股在分红、投票及清算顺序上不同；存托凭证代表外国公司证券权益。可转债兼具债性与股性，转换、赎回、回售条款赋予不同主体权利。
科目二|4.2|35-37|股本变动与收益风险|配股、增发、送股、拆股、回购及分拆影响股本或权益结构；股票收益来自股息及价差，风险包括系统性及非系统性风险。
科目二|4.3|36-38|基本面与技术分析|基本面分析从宏观、行业、公司评估经营和价值；技术分析依赖市场行为涵盖信息、价格沿趋势运动和历史重演等假设，存在适用限制。
科目二|4.4|37-40|绝对估值与相对估值|价格围绕价值波动；绝对估值折现未来股利或现金流，相对估值使用市盈率、市净率等可比倍数。市盈率＝每股价格÷每股收益，市净率＝每股价格÷每股净资产。
科目二|5.1|40-43|债券条款、收益与风险|按发行主体、计息方式、担保和嵌入条款等分类；收益包括利息、价差及再投资。可赎回条款一般保护发行人，回售条款一般保护投资者。
科目二|5.1|43-44|债券主要风险|信用风险涉及违约或评级恶化，利率上升通常令固定利率债价格下跌；还需考虑再投资、通胀、流动性及提前赎回等风险。
科目二|5.2|44-47|中国债券市场体系|区分银行间、交易所和商业银行柜台市场及参与主体；利率债与信用债在定价基础、信用风险及发行主体上不同。
科目二|5.3|47-49|债券估值与收益率|债券价格为未来利息与本金的贴现值；当期收益率＝年息÷市价，到期收益率是使现金流现值等于价格的贴现率，两者不能互换。
科目二|5.3|49-50|久期、凸性与期限结构|修正久期近似衡量价格对收益率变化的敏感性，ΔP/P≈-D*×Δy；正凸性修正久期线性估计。收益率曲线与信用利差反映期限及信用定价差异。
科目二|5.4|51-53|货币工具与回购|货币市场工具期限短、流动性较高，主要包括短期政府债、票据、回购等。正回购方融入资金，逆回购方融出；质押式不转移所有权，买断式转移所有权。
科目二|6.1|53-54|衍生工具特征|价值依赖基础资产，常具有跨期、杠杆及风险特征；按合约类型分远期、期货、期权和互换，按交易场所分场内和场外。
科目二|6.2|54-56|远期与持有成本定价|远期合约由双方约定未来交易条件，通常为非标准化场外合约。无套利定价考虑现价、融资成本、储存成本及持有收益等因素。
科目二|6.3|56-58|期货制度与功能|期货为标准化合约，采用保证金、每日结算等制度；具有风险管理、价格发现及投机功能。套期保值需匹配方向、规模和期限。
科目二|6.4|58-60|期权分类与多空盈亏|看涨买方有买入权，看跌买方有卖出权；欧式仅在到期日行权，美式可在约定期间行权。买方最大损失为权利金，卖方承担履约义务。
科目二|6.4|59-60|期权价值与影响因素|期权价值由内在价值和时间价值构成；标的价格、执行价格、剩余期限、波动率、无风险利率和收益支付都会影响价值，方向因期权类型而异。
科目二|6.5|60-62|互换类型|利率互换交换利息现金流，常见固定与浮动互换；货币互换涉及不同币种本金和利息；股票收益互换交换股票或指数收益与约定现金流。
科目二|7.1|62-63|另类投资优势与局限|另类投资可提供多元化、潜在超额收益及通胀对冲；局限包括低流动性、低透明度、估值困难及复杂费用，不能将分散效应理解为无风险。
科目二|7.2|63-64|大宗商品投资|可通过实物、期货、相关股票或基金参与；能源、金属及农产品供需特征各异，须区分现货风险与期货展期等风险。
科目二|7.3|64|不动产投资|不动产具有地理固定、异质性、低流动性等特征；通过直接持有、有限合伙或REITs等间接投资，收益可来自租金及资产升值。
科目二|7.4|64-65|对冲基金与策略|面向特定投资者，策略灵活、主动管理，通常收取管理费及业绩报酬；常见策略包括股票多空、事件驱动、相对价值和宏观策略。
科目二|8.1|65-67|基准与证券指数|业绩比较基准反映投资目标、策略及风险特征；证券指数可采用价格、市值或等权加权。指数编制先明确目标，再确定样本、基期基点和加权方法。
科目二|8.1|67-68|基准分类与选择|绝对收益基准通常是固定收益目标，相对收益基准参照指数或指数组合；选择遵循SAMURAI原则，并与实际风格、可投资范围和管理责任一致。
科目二|8.2|68|标准化与定制化流程|标准化产品由管理人设定策略，投资者按需求选择；定制化流程从特定投资者需求出发，制定投资政策、实施组合并持续反馈调整。
科目二|8.3|68-70|组织分工与投资流程|投资决策委员会作总体决策，研究部门支持分析，投资部门构建组合，交易部门审核执行并反馈；通过集中交易和相互独立的职责安排控制风险。
科目二|9.1|70-74|均值方差与分散化|组合预期收益为各资产预期收益的权重加权；组合风险还取决于协方差和相关性。有效前沿是在同等风险下收益最高的组合集合，最优组合由投资者偏好决定。
科目二|9.2|75-80|CAL、CML与CAPM|资本配置线连接无风险资产和风险组合；资本市场线对应市场组合，用标准差衡量有效组合风险。CAPM：E(Ri)＝Rf＋βi×[E(Rm)-Rf]；证券市场线使用β。
科目二|9.2|77-80|系统性风险与套利定价|系统性风险不能依靠同一市场内分散完全消除，非系统性风险可以分散；β反映相对市场的敏感度。套利定价理论以多个共同因素解释资产收益。
科目二|9.3|81-84|市场有效性与行为金融|弱式、半强式、强式分别对应历史交易、公开及全部信息。行为金融研究有限理性、心理偏差及套利限制，解释部分市场异象。
科目二|9.4|84-85|指数跟踪与跟踪误差|被动投资通过完全复制或抽样优化等方法跟踪基准。跟踪偏离度是收益差，跟踪误差是收益差的标准差；费用、现金、成分调整和执行偏差均可产生误差。
科目二|9.5|85-87|主动股票与债券组合|主动收益来自证券选择、择时、行业及风格配置。债券组合特别关注期限结构、久期、信用、流动性和杠杆；负债驱动策略包括所得免疫和价格免疫。
科目二|9.6|87-89|战略与战术配置|战略配置是匹配长期目标的资产比例，战术配置根据短期市场判断调整。核心卫星、风险平价及其他多元资产策略有不同风险来源和管理要求。
科目二|9.7|89-91|可持续投资与ESG|把环境、社会和公司治理因素纳入决策；常见方法包括ESG整合、筛选、主题、影响力投资及积极所有权。评级依赖指标、数据与方法，不同评级不必相同。
科目二|10.1|91-94|指令驱动与保证金交易|指令驱动一般按价格优先、时间优先撮合；区分市价、限价、止损等指令。融资买入与融券卖出使用杠杆，须管理保证金和追加要求。
科目二|10.2|94-96|最佳执行与交易成本|最佳执行综合价格、成本、速度和成交可能性；佣金、税费为显性成本，冲击、价差及机会成本等为隐性成本。
科目二|10.2|96|算法交易|算法应平衡冲击成本与机会成本；时间加权、成交量加权等策略适用不同目标，不能只以成交速度判断执行质量。
科目二|10.3|97|交易管理与风险控制|基金公司通过策略、组合构建、交易执行、绩效反馈和风险控制形成闭环；交易员应复核指令、保持独立并及时反馈异常。
科目二|11.1|97-100|投资风险及传导|市场、信用、流动性等风险可相互作用；风险管理包含识别、测量、监控及控制。流动性压力可能迫使折价卖出，引起进一步净值下跌和赎回。
科目二|11.2|100-102|事前、事后与风险指标|事前测度主要看当前持仓及未来风险，事后测度利用历史收益；β衡量系统性风险，波动率衡量总波动，跟踪误差衡量相对基准波动。
科目二|11.2|102-104|主动比重与下行风险|主动比重＝持仓权重与基准权重差绝对值之和的一半；最大回撤关注先峰后谷跌幅，下行标准差关注低于目标收益的偏离。主动比重不是收益率指标。
科目二|11.2|104-105|VaR、ES与压力测试|VaR须同时给出持有期和置信水平，可用参数、历史模拟或蒙特卡洛方法估计；ES关注超过VaR阈值的尾部损失；压力测试检验极端情景，不能视作最大损失保证。
科目二|11.3|106-110|按基金类型管理风险|股票基金关注集中度、行业及风格；债券基金关注久期、信用和流动性；货币基金关注平均剩余期限、回购及信用质量；跨境基金还关注汇率、海外市场与结算风险。
科目二|12.1|111-112|评价目的与偏差|评价需考虑规模、区间、市场环境、风险、费用及风格一致性；只保留存续基金会产生幸存者偏差，不能仅凭短期绝对收益评价管理能力。
科目二|12.2|112-113|绝对收益与加权方法|持有期收益＝(期末价值-期初价值＋期间收入)÷期初价值；时间加权几何连接各子期，资金加权使用IRR。算术平均与几何平均含义不同，分红再投资须调整净值口径。
科目二|12.2|113-114|相对收益与捕获率|算术相对收益＝Rp-Rb，几何相对收益＝(1＋Rp)/(1＋Rb)-1。捕获率在基准上涨或下跌子期分别比较基金和基准收益；上行较高、下行较低通常更有利。
科目二|12.2|115|风险调整收益|夏普＝(Rp-Rf)/σp，特雷诺＝(Rp-Rf)/βp，信息比率＝(Rp-Rb)/跟踪误差；索提诺使用下行标准差。讲义卡玛口径为超额收益÷最大回撤，计算前应明确分子约定。
科目二|12.2|115-116|选股与择时能力|选股寻找低估证券，择时通过调整市场风险暴露获取收益；评价模型用于区分收益来源，不能从单次跑赢推断稳定能力。
科目二|12.3|116-117|业绩归因|绝对归因分解资产对组合总收益的贡献；相对归因解释对基准的超额收益。Brinson模型区分配置、选择及交互效应，Campisi用于债券组合归因。
科目二|12.4|117-118|基金风格分析|投资风格由产品契约和经理决策共同形成；可依据持仓或历史收益分析，风格漂移意味着实际风格相对原定位发生变化。
科目二|12.5|118-119|管理人综合评价|评价合规性、治理、人员与投研体系、风险管理、运营和投资者服务；综合能力不能只用某只基金短期收益代表。
科目二|12.6|119|基金评价业务体系|长期、公正、全面、客观、一致、公开是评价原则；基金分类是公平比较的基础，随后进行指标评价、风险调整和结果解释。
科目二|12.7|119-120|GIPS与收益口径|GIPS追求业绩披露的准确、一致和可比；使用总收益与时间加权收益，子期几何连接，按规定扣除交易费用并使用权责发生制和交易日会计。
科目二|13.1|121-124|募集、合同生效与认购|公募募集先申请注册再发售，达到成立条件后验资备案、合同生效；认购发生在募集期。净认购金额及利息按规定折算份额，注意内扣与外扣口径。
科目二|13.1|123-124|不同产品认购|区分开放式、封闭式、ETF、QDII及基础设施基金的认购方式和发售安排；QDII募集可使用人民币、美元或其他主要外汇货币。
科目二|13.2|124-127|交易、申赎与巨额赎回|开放式基金通常金额申购、份额赎回、未知价；一般净赎回超过上一开放日总份额10%构成巨额赎回，按规则全额或部分延期办理。
科目二|13.2|127-129|转换、非交易过户及特殊申赎|转换通常收取转出赎回费及适用申购费差额；继承、司法执行等可能触发非交易过户。ETF、LOF、货币及QDII基金各有交易和申赎安排。
科目二|13.3|129-130|私募资管计划参与退出|非公开向合格投资者募集，按规定成立备案；投资者在合同约定的开放期参与或退出，份额转让也须符合适格性和合同要求。
科目二|13.4|130-131|私募证券基金募集备案|履行特定对象确认、风险匹配与揭示、资格审核等程序，募集完成后备案；禁止公开推介和规避合格投资者门槛，按合同办理申赎转让。
科目二|13.5|131-132|份额登记与资金结算|登记机构办理账户、份额登记、交易确认和权益记录；份额登记与申赎资金结算是关联但不同环节，价格由管理人计算并经托管人复核。
科目二|14.1|132-136|场内交易结算|证券交易所组织交易，中国结算办理登记结算；区分清算与交收，掌握分级结算、共同对手方、净额或逐笔交收及货银对付原则。
科目二|14.1|136-138|费用与除权除息|交易费用包括佣金、过户费、经手费、监管费及适用税费；具体收费方向与上限属于交易规则。除权除息参考价需同时调整红利、配股价及股本变化。
科目二|14.2|138-141|银行间交易制度与结算|区分做市商、结算代理和公开市场一级交易商制度；了解中央结算公司、上海清算所分工，以及现券、回购、远期、借贷等业务的结算规则。
科目二|14.3|141-144|期货期权与港股通|中金所采用会员和分级结算制度；结算准备金尚未被合约占用，交易保证金已被占用。港股通通过境内证券公司及交易服务公司向联交所申报，注意交易与结算币种差异。
科目二|14.4|144-145|海外交易与QDII结算|境外投资涉及当地市场、投资顾问、托管人与结算规则；境内管理人与托管人不因委托境外机构而免除责任，跨市场时差、货币及清算安排需分别识别。
科目二|15.1|145-147|资产净值与估值责任|基金资产净值＝资产总值-负债；份额净值＝资产净值÷总份额。管理人承担主要估值责任、托管人复核，委托服务机构不免除双方责任。
科目二|15.1|147-149|估值方法及差错|优先使用活跃市场可观察报价，无合适报价时使用估值技术；不同资产有不同处理。净值计价错误、暂停估值和侧袋机制须按适用规则及合同处理。
科目二|15.2|149-150|费用承担与计提|申购、赎回等费用由投资者承担；管理、托管、销售服务等费用从基金财产列支。日计提额＝前一日净值×年费率÷当年实际天数，注意闰年。
科目二|15.3|150-151|基金会计特点|基金为独立会计主体，独立建账、核算，以人民币为记账本位币，按权责发生制核算；管理人承担主要会计责任，托管人复核相关净值和报告。
科目二|15.4|151-152|基金财务报告分析|分析持仓结构、份额及持有人变化、盈利和分红能力；资产负债表、利润表、净值变动表分别提供不同信息，不能把企业财务报表比率机械套用于基金。
科目二|16.1|152-154|利润构成与分配|利润包括利息、投资收益、公允价值变动损益及其他收入等；已实现收益与本期利润不同。现金分红或再投资影响份额净值和份额数量，须区分基金与投资者现金流。
科目二|16.1|154|货币基金收益权益|普通货币基金当日申购份额自下一交易日起享有分配权益，当日赎回份额自下一交易日起不享有；节前最后开放日申购不享有假期收益，赎回仍享有假期收益。
