# 科目|考点（稳定匹配键）|一句白话（解释机制）|浓缩要点（保留考试术语，^^分段）；详细讲义内容另行展开。
科目一|持有人大会规则|先确认来的人够不够，再计算来的人中有多少赞成。|通常由管理人召集，依法可由托管人或符合条件的持有人等召集；至少提前**30日**公告。首次出席≥总份额**1/2**；一般决议≥参会表决权**1/2**，特别决议≥**2/3**。两种门槛的分母不同。
科目一|大会再次召集|第一次人没到齐，可以在规定窗口内再开，但只能讨论原来的事。|首次出席不足→原定召开日**3个月以后、6个月以内**，就**原事项**重新召集；重新出席门槛为总份额**1/3以上**。
科目一|基金起源和发展|记历史时，把年份绑定“地点＋首次出现的形态”。|**1868年英国**：海外及殖民地政府信托，首只公认证券投资基金；**1924年美国**：马萨诸塞投资信托，开放式公司型共同基金代表。公募、私募的发展脉络分开记。
科目一|基金行业作用|把零散储蓄变成能长期支持企业的资金。|公募拓宽居民投资渠道、稳定资本市场、服务实体经济和对外开放；私募发挥**长期资本**作用，支持科技创新与企业成长。
科目一|法律效力层级|先认清是谁制定规则，才能判断它属于哪一层。|**法律**：全国人大及常委会；**行政法规**：国务院；**部门规章等**：有关行政机关；**自律规则**：协会、交易场所等。自律处分不等于行政处罚。
科目一|法律适用与规则体系|先找基金行业的专门规则，再找未覆盖事项适用的法律。|《**证券投资基金法**》统领行业法规，以信托关系和双受托人机制保护财产独立；未规定事项适用《信托法》《证券法》等。公司型、合伙型还须适用相应组织法。
科目一|监管目标、原则与措施|监管既保护投资者，也维护整个市场的正常运行。|目标：**保护权益、规范行业、维护秩序**。判断措施时分清实施主体和法律性质：行政监管措施／行政处罚／司法措施／自律处分不能互换。
科目一|人民银行与外汇局|反洗钱和外汇管理，各有负责的部门。|**人民银行**组织协调反洗钱，开展资金监测并监督义务履行；**外汇局**承担相关外汇管理。监管机关的职责与机构自己的反洗钱义务分开判断。
科目一|协会自律|协会像行业的规则维护者，但不是行政机关。|**基金业协会**承担登记备案、从业人员管理、执业标准和投资者教育等自律职责；会员分普通、联席、观察、特别会员。登记备案不等于行政审批或收益担保。
科目一|交易场所自律|在哪里交易，就还要遵守那个场所的交易规则。|交易所组织交易并监管上市和交易行为；期货交易所、全国股转系统、银行间市场分别按业务边界自律。**场所自律**与证监会行政监管性质不同。
科目一|公募管理人准入与退出|能不能开业，看资格；出了问题怎么退出，看法定程序。|公募基金管理公司准入看资本、股东、人员、场所、内控；注册资本**不低于1亿元，实缴货币资本**。退出区分解散、撤销、破产，仍须保护基金财产与持有人。
科目一|职责、治理与经营|公司内部谁作决定，与基金日常谁做业务，是两张分工表。|管理人承担募集备案、投资、分别记账、净值计算、分配、报告等职责；**股东会—董事会—经理层**权限清晰，独立董事参与重大关联交易、审计等决策。
科目一|国际化与风险准备金|跨境业务要走准许的通道，经营风险还要留出缓冲。|跨境渠道包括**QDII、互联互通、基金互认**，分别适用各自规则；管理人按规定计提风险准备金，并满足净资产等财务要求。
科目一|私募管理人登记与退出|管理人登记是“谁来管”，产品备案是“管哪只基金”。|**管理人登记≠基金产品备案**；撤销、注销登记是管理人层面的事项。登记退出后，存续基金仍须依法运作、清算或移交，责任不会随登记消失。
科目一|私募管理人职责与治理|业务可以请人做，监督和责任不能一起甩出去。|专业化经营、利益冲突管理、财产隔离、授权控制覆盖**募投管退**；外包须可控，至少**每年**全面评估外包风险。
科目一|托管准入与独立性|做投资的人与看管财产的人要互相独立，才能形成制衡。|托管准入看人员、保管条件、业务系统等；管理人与托管人**不得为同一机构，不得相互出资或持股**。独立托管不构成保本保证。
科目一|托管职责与终止|托管人不替经理选股票，但要保管、复核并盯住违规指令。|职责：**保管资产、清算交割、复核净值、监督投资**。违法指令按规定拒绝或报告；职责终止仍须妥善交接财产与业务资料。
科目一|服务机构范围与准入|基金背后有很多专业分工，各做各的业务、各拿各的资格。|销售、支付、登记、估值核算、投顾、评价、信息技术、律师和会计师等提供服务；准入依**具体业务**适用资格、注册或备案要求，不能相互替代。
科目一|服务机构业务规范|帮客户办业务时，客户的钱和资料都不能当成自己的。|销售结算资金与份额独立于服务机构自有财产，不列入其破产清算财产；服务机构须**勤勉、保密**，不得转包或变相转包已承诺的服务。
科目一|任职、离职与资格管理|入职要合格，在职守授权，离职仍守秘密。|任职、离职按岗位资格及备案要求办理；从业人员在**授权范围**内执业。离职不免除保密等持续义务。
科目一|证券投资申报与执业规范|个人买卖也可能与客户利益冲突，所以要申报并接受约束。|公募从业人员按规定申报**本人、配偶及利害关系人**的证券账户和持仓，账户变更及时申报；禁止利用未公开信息、违规代客交易或损害客户权益。
科目一|绩效考核与薪酬|奖金不能只奖励眼前赚钱，否则容易把长期风险留给客户。|考核兼顾**长期业绩、合规、风险管理**；薪酬递延、跟投、追索扣回使激励与长期责任匹配。短期高收益不能抵销违规责任。
科目一|廉洁从业职责|防利益输送，是公司整套管理的事，不只是员工自觉。|经营机构承担**廉洁从业管理主体责任**，将相关风险纳入全面风险管理；投资、交易、销售、采购等环节均须控制并履行报告义务。
科目一|利益输送禁令|判断一份礼物，关键在它是否换取了不正当利益。|禁止以礼金、礼品、回扣、不当接待或安排等谋取**不正当利益**；正常业务支出也须遵守决策流程与费用标准。
科目一|公募募集与申赎|获准卖、开始卖、募集完成、正式生效，是不同步骤。|**注册→募集→验资备案→合同生效**。取得注册文件后**6个月内**发售，募集期一般≤**3个月**；后续申赎依合同和适用业务规则办理。
科目一|销售与投资者适当性|不能因为客户愿意买，就省略“他是否适合买”的判断。|**了解客户＋了解产品→风险评估→匹配销售**。普通、专业投资者保护要求不同；宣传须真实完整并揭示风险，不得承诺保本收益。
科目一|公募投资与交易限制|有权管理资金，不代表能按自己的利益随意使用。|投资受**法定范围、比例限制和基金合同**共同约束；不同组合公平对待，禁止侵占挪用、利益输送及其他禁止交易。
科目一|信息披露与终止清算|从收钱到退场，都要让投资者知道钱怎么处理。|募集、持续运作、重大事项和清算分别履行披露；管理人编制、托管人按职责复核。终止后**清理资产→偿债→分配剩余财产**。
科目一|资管计划募集与备案|私募资管计划先看投给谁，再看是一位还是多位投资者。|面向**合格投资者、非公开募集**，分单一和集合计划。单一计划可按合同不聘托管机构，但须明确财产安全措施与纠纷解决机制。
科目一|投向、运作与分级|资产买什么、钱能否随时退出、杠杆怎么分层，要分别判断。|投向分固定收益、权益、商品及金融衍生品、混合类；运作分开放、封闭。**非标投资须重视期限匹配**；分级杠杆按产品类别适用规则。
科目一|风险、关联交易与退出|改变合同不能只由管理人说了算，还要保护投资者退出的机会。|建立风险与关联交易管理制度；合同变更按约取得同意并保障**退出选择权**；终止后清算，持续履行净值与报告披露。
科目一|私募募集边界与流程|私募的“私”，既限制向谁卖，也限制怎样推介。|**特定对象确认→适当性匹配→风险揭示→资格确认→签约→适用的冷静期与回访**。只向合格投资者非公开募集，禁止公开宣传、拼单或代持规避门槛。
科目一|基金备案与变更|备案是把产品情况报上去，不是给产品收益盖保证章。|**管理人登记、基金备案、重大事项变更**是三种事项；募集完成后办理产品备案。备案不证明投资价值，也不保证收益。
科目一|私募基金持续运作|产品名字、合同策略和实际投资，要对得上。|投资交易、申赎登记、估值费用、信息报送、终止清算构成持续运作；**名称、类型、实际策略一致**，不得备案后短期赎回来规避真实募集要求。
科目一|反洗钱义务与尽调|先弄清钱是谁的、谁最终受益，再按风险决定调查深度。|建立反洗钱内控，开展**客户尽职调查**并识别**受益所有人**；措施须与风险相匹配，不能一发现风险就无差别拒绝所有服务。
科目一|交易报告、保存与保密|发现可疑要报告，留下证据要保存，报告过程要保密。|履行**大额交易、可疑交易报告**义务。按本讲义：客户身份资料自业务关系结束、交易信息自交易结束起，至少保存**10年**；依法保密并落实特别预防措施。
科目一|合规与基本原则|合规就是把外部规则真正落到每个人每天的业务里。|经营与执业须符合**法律、规则、准则**；覆盖全员、全业务，保障合规管理的**独立性、权威性、有效性**。
科目一|合规职责与保障|业务部门不能说“合规是合规部门的事”。|董事会审制度和报告、考核合规负责人；管理层落实；业务部门承担本部门责任；合规部门独立组织执行。履职保障包括人员、预算、知情权与报告渠道。
科目一|合规管理活动|把违规苗头提前找出来，发现后还要跟踪到改好。|**政策、审查、检查、咨询、培训、报告**共同识别违规风险；覆盖投资、销售、披露、反洗钱等重点业务，发现问题后督促整改。
科目一|风险管理体系与责任|风险管理不是保证不出事，而是知道风险在哪、由谁处理。|**识别→评估→应对→监控→报告**形成闭环。董事会负最终责任，管理层组织实施，业务部门直接管理；目标并非消除全部风险。
科目一|市场、信用与流动性风险|跌价、对方还不上钱、自己拿不出现金，是三类不同问题。|**市场风险**＝价格不利变动；**信用风险**＝违约或信用质量下降；**流动性风险**＝难以合理变现或应付赎回。限额、分散、评估与流动性安排各有所用。
科目一|操作、声誉及其他风险|出错与失信可能互相传导，但不是同一个风险名称。|**操作风险**源于流程、人员、系统或外部事件；**声誉风险**源于负面评价。洗钱、恐怖融资和子公司管控风险同样纳入全面风险管理。
科目一|内控层次、目标和原则|不能只靠自己检查自己，还需要相互制衡与独立监督。|层次：**岗位自控→部门制衡→独立监督**。目标：合规经营、有效运营、可靠信息；原则：健全、有效、独立、相互制约、成本效益。
科目一|内控基本要素|有规则还不够，需要识别风险、执行规则、传递信息和持续检查。|五要素：**控制环境、风险评估、控制活动、信息与沟通、内部监控**。环境是基础，评估找问题，活动作控制，沟通和监控让制度持续生效。
科目一|主要业务控制|决定买什么和真正下单分开，能减少错误和利益冲突。|研究独立客观，**投资决策与交易执行分离**；销售、披露、信息技术、会计、监察稽核、反洗钱分别设控制，持续检查改进。
科目一|职业道德建设|法律画底线，道德还要求把受托的事做好。|六项规范：**守法合规、诚实守信、专业审慎、客户至上、忠诚尽责、保守秘密**。通过立法、监督、教育、宣传、警示与个人修养共同落实。
科目一|守法合规|“我不知道这条规定”不能成为违规的理由。|既要**掌握**也要**遵守**法律法规、自律规则和内部制度；法定合规是职业道德基本要求，法律底线不能替代更高道德标准。
科目一|诚实守信|不能靠信息优势作弊，也不能通过造假操纵他人的判断。|禁止**内幕交易、利用未公开信息交易、操纵市场、欺诈客户、不正当竞争**；依据实际行为与信息性质区分，不能只看有没有赚钱。
科目一|专业水准与审慎执业|有证只是起点，每次决定还要有证据、有调查。|保持专业胜任与持续学习；研究、决策、执行须有**合理依据、独立客观、充分评估**。主观判断不能替代尽职调查。
科目一|客户利益优先与公平对待|先顾客户利益，但不能为了某位客户牺牲另一位。|**客户利益优先于机构及个人利益**；识别客户、管理利益冲突，公平对待不同客户和组合，重视长期服务。
科目一|忠诚廉洁与勤勉尽责|受托做事，要避开私利冲突，并把岗位责任做到位。|忠实于持有人与所在机构，避免利益冲突和不当利益；投研、风控、运营、监督均须**勤勉尽责**，维护合法利益。
科目一|保密范围与例外|只有该知道的人能知道，但依法必须披露时不能拿保密作挡箭牌。|保护国家、行业、机构、客户及未公开信息；依**最小须知原则**授权。依法披露、配合监管或客户允许等例外须有依据；离职后仍保密。
科目一|中国特色金融文化|赚钱的方式与速度，同样要受价值和规则约束。|**诚实守信**不逾底线；**以义取利**不唯利是图；**稳健审慎**不急功近利；**守正创新**不脱实向虚；**依法合规**不胡作非为。
科目一|行业文化的意义|文化影响没人盯着时，人们会怎样对待客户的钱。|恪守**信义义务、客户利益优先**，通过良好文化服务实体经济、稳定资本市场、防范金融风险。
科目一|公募与私募文化实践|文化要落到怎样决策、怎样奖励、怎样保护投资者。|公募倡导**合规、诚信、专业、稳健**；私募提出十个坚守。落实到治理、长期激励、投资者保护及服务实体经济。
科目一|诚信档案与监管|记录诚信不等于可以收集一个人的所有隐私。|诚信档案涵盖身份、奖惩及相关诚信事项；禁止采集**宗教、基因、指纹、血型、病史**等信息。采集、公开查询、更正、约束激励均须依法进行。
科目二|证券投资基金与当事人|大家把钱汇在一起，请专业的人投资，另有人保管监督。|**持有人**出资并共担收益风险；**管理人**按合同投资；**托管人**保管监督。基金财产独立，服务机构、监管机关、自律组织不属于合同三方。
科目二|特点及品种比较|基金让你买到一篮子投资，但这篮子仍可能整体下跌。|**集合投资、专业管理、组合投资、风险分散、利益共享、风险共担、独立托管**。比较产品看法律关系、投向、收益与风险，不按销售渠道判断。
科目二|基金起源与全球趋势|基金的发展，是集合投资的组织形式不断扩展。|**1868英国**：首只公认证券投资基金；**1924美国**：开放式公司型基金代表。全球发展关注规模、产品创新与跨境业务。
科目二|中国基金产品演进|新产品改变投资的组织方式或范围，并不自动消除风险。|保本基金调整为**避险策略基金**；MOM、基础设施REITs体现产品创新，QDII、互联互通、ETF互挂体现跨境拓展；新时期关注科技、绿色、普惠、养老、数字金融。
科目二|基金分类的意义和标准|给基金贴标签，是为了让相似产品能被选择、管理和比较。|分类服务投资选择、产品定位、业绩评价与监管；**募集、运作、投向、策略、资金来源用途、交易模式、法律形式**各是一个维度，不能混用。
科目二|股票基金与风格|买的是股票组合，风格还要看它偏爱哪类公司。|股票资产占基金资产**80%以上**；风格看**市值**（大中小盘）和**性质**（价值／成长）。组合能分散个股风险，不能消除市场整体风险。
科目二|债券基金特点|基金不断持有和更换债券，不等于你持有一张等到期还本的债券。|债券资产占基金资产**80%以上**；基金组合收益不固定，也没有单只债券式的确定到期日。利率风险看**久期**，信用风险可通过分散降低。
科目二|货币市场基金|主要安排短期资金，但“波动小”不等于“银行存款”。|仅投符合期限、信用要求的**货币市场工具**；禁止股票、可转债等。申赎型与交易型、不同净值表现方式分别识别，均不等于保本承诺。
科目二|FOF与养老目标基金|FOF买基金；养老目标基金再按退休时间或风险目标调整这篮子基金。|**FOF**：80%以上基金资产投其他基金。**目标日期**随退休临近调整配置；**目标风险**维持特定风险水平。二者目标不同，均不承诺养老收益。
科目二|混合基金|股票和债券怎样搭配，比“混合”这个名字更能说明风险。|配置不满足股票型、债券型等单一类型标准；分偏股、偏债、股债平衡、灵活配置。风险收益取决于**实际配置与策略**。
科目二|指数基金、ETF与联接基金|跟踪什么指数，与通过什么渠道买卖，是两个问题。|**指数基金**跟踪指数；**ETF**兼有一级申赎、二级交易，价差可能引发套利；**联接基金**主要投资目标ETF，自身机制不能照搬ETF。
科目二|QDII产品特征|钱在境内募集，资产在境外投资。|**QDII＝合格境内机构投资者**；区分投资模式、投向与份额计价货币。人民币、美元等计价不改变境外投资属性，仍须识别汇率风险。
科目二|基础设施REITs|把基础设施的运营现金流，通过基金结构交给投资者分享。|采用**公募基金＋基础设施资产支持证券**结构；封闭运作、上市交易，按规定强制分配收益。资产分**产权类／特许经营权类**，分配要求不等于保本。
科目二|其他类型与交易模式|能在交易所卖出，不等于能找基金直接赎回。|**LOF**以转托管连接场内外；**封闭式基金**存续期内不可由持有人申请赎回，可依规则交易。区分上市交易与向基金申赎。
科目二|三张主要财务报表|资产负债表是一张照片，利润和现金流是两段录像。|**资产负债表**：某时点有多少资产、欠多少债；**利润表**：一段时期赚了多少；**现金流量表**：经营、投资、筹资实际收付多少现金。
科目二|财务比率与杜邦分析|赚钱多，可能是利润厚、资产转得快，也可能是借得多。|偿债看流动比率、速动比率、资产负债率、利息保障倍数；营运看周转率。**杜邦分析**把ROE拆成盈利、效率、杠杆三条来源。
科目二|财务舞弊识别|账上好看，还要问有没有现金、能否持续、交易是否真实。|交叉检查**多期报表、现金流、异常交易、关联关系**；会计政策与一次性事项可改变比率，单一指标不能证明企业价值或舞弊。
科目二|现值、终值与利率|把不同时点的钱搬到同一天，才能公平比较。|**终值**向未来计息，**现值**向今天折现；单利只对本金计息，复利让利息也生息。利率与期数必须使用同一计息周期。
科目二|即期与远期利率|现在开始的一段利率是即期，未来才开始的那一段是远期。|**即期利率**从当前起算；**远期利率**从未来起算。无套利下，“一次投到终点”与“分段滚动投资”的积累因子相等。
科目二|随机变量与描述统计|先看平均能赚多少，再看上下晃多大、两种资产是否一起晃。|**均值**看中心；**方差／标准差**看自身波动；**协方差**看共同变动；**相关系数**把联动标准化到[-1,1]。中位数、分位数看分布位置。
科目二|资本结构与权利|债权人先按约收钱，股东分享剩下的收益，也承担剩余风险。|**债务资本**是偿付义务，**权益资本**是所有权；现金流量权与投票权可能不同。资本结构权衡融资成本、税盾与财务困境成本。
科目二|股票、存托凭证与可转债|先问你拿的是所有权、代持凭证，还是附带换股选择的债权。|普通股、优先股比较分红／投票／清算顺序；**存托凭证**代表外国证券权益。**可转债**兼具股性债性，转换权、发行人赎回权、持有人回售权分开记。
科目二|股本变动与收益风险|股票份数变多，不一定代表公司更值钱或你更富有。|配股、增发、送股、拆股、回购、分拆影响股本或权益结构；收益来自**股息＋价差**，风险分**系统性／非系统性**。
科目二|基本面与技术分析|一种研究企业值多少，另一种从交易行为寻找价格规律。|**基本面分析**：宏观→行业→公司；**技术分析**：市场行为涵盖信息、价格沿趋势运动、历史重演三假设。方法结论受假设与适用场景约束。
科目二|绝对估值与相对估值|估值可以自己算未来的钱值多少，也可以与类似公司比价格。|**绝对估值**折现未来股利或现金流；**相对估值**比较PE、PB等倍数。可比公司须具有可比盈利、增长与风险条件。
科目二|债券条款、收益与风险|债券不仅写着利息，还写着谁能提前结束或改变这笔借款。|收益来自**利息、买卖价差、再投资**；按主体、计息、担保、嵌入条款分类。**赎回权通常归发行人，回售权通常归投资者**。
科目二|债券主要风险|合同写明付款，不等于一定能按时收到，也不等于中途卖价不变。|信用风险看违约／评级恶化；固定利率债通常**利率升→价格降**。另看再投资、通胀、流动性与提前赎回风险。
科目二|中国债券市场体系|先认清交易场所，再看债券的发行人和信用风险。|交易场所：**银行间、交易所、商业银行柜台**；债券性质：利率债／信用债。市场、发行主体、参与者与定价基础不能混为一类。
科目二|债券估值与收益率|债券价格，就是未来每笔本息折算到今天的总和。|**当期收益率**只看年息相对市价；**到期收益率（YTM）**是使全部本息现值等于价格的贴现率。票面利率、当期收益率、YTM不能互换。
科目二|久期、凸性与期限结构|久期估计利率动一点价格动多少，凸性修正直线估计的弯曲误差。|**修正久期**衡量价格对收益率的局部敏感性；**凸性**作二阶修正。期限结构比较不同期限收益率，信用利差比较信用定价差异。
科目二|货币工具与回购|回购看起来在买卖证券，核心是在短期借钱或借出钱。|货币工具期限短、流动性较高；**正回购＝融入资金，逆回购＝融出资金**。质押式不转移证券所有权，买断式转移所有权。
科目二|衍生工具特征|先约定未来怎样交易，今天的合约价值跟着基础资产变化。|价值依赖**基础资产**，具有跨期、杠杆和风险特征；类型分远期、期货、期权、互换，场所分场内／场外。
科目二|远期与持有成本定价|未来买的合理价格，要与今天买入并持有到那天的成本相匹配。|**远期**通常为非标准化场外合约；无套利价格考虑**现价＋融资与储存成本−持有收益**，实际公式依计息方式和收益支付约定。
科目二|期货制度与功能|先交一部分保证金建立头寸，再每天结算盈亏。|**标准化合约、保证金、每日结算**是核心制度；功能包括风险管理、价格发现、投机。套保须匹配方向、规模、期限，并关注基差风险。
科目二|期权分类与多空盈亏|买方付钱买“可以做，也可以不做”的权利；卖方收钱承担义务。|**看涨**买方有买入权，**看跌**买方有卖出权；欧式到期行权，美式在约定期间行权。买方最大损失为权利金，到期价值不等于净利润。
科目二|期权价值与影响因素|期权的价格，一部分来自现在行权的好处，一部分来自未来的机会。|**期权价值＝内在价值＋时间价值**。标的价、执行价、剩余期限、波动率、无风险利率、收益支付均影响价值；方向须结合看涨／看跌及合约条件。
科目二|互换类型|双方不是直接交换全部资产，而是按约定交换现金流。|**利率互换**通常交换同币种固定／浮动利息；**货币互换**涉及不同币种本金与利息；**股票收益互换**交换股票或指数收益与约定现金流。
科目二|另类投资优势与局限|加入不同来源的收益，可能分散风险，但通常更难卖、也更难估价。|优势：多元化、潜在超额收益、通胀对冲；局限：**低流动性、低透明度、估值难、费用复杂**。分散效应不等于无风险。
科目二|大宗商品投资|买实物、期货或商品公司的股票，承担的风险并不相同。|投资途径：实物／期货／相关股票／基金；能源、金属、农产品受不同供需驱动。**现货价格风险≠期货展期风险≠企业经营风险**。
科目二|不动产投资|房产既可能收租，也可能涨价，但出售往往需要时间。|特征：**地理固定、异质性、低流动性**；收益来自租金与升值。直接持有，或通过有限合伙、REITs等间接持有，风险与退出机制不同。
科目二|对冲基金与策略|“对冲”是可用的方法，不是保证不会亏损的名字。|面向特定投资者，策略灵活、主动管理，常收管理费与业绩报酬；策略有**股票多空、事件驱动、相对价值、宏观**。
科目二|基准与证券指数|先定一把与投资目标相符的尺子，才知道做得好不好。|**业绩比较基准**匹配目标、策略和风险；指数编制确定目标、样本、基期基点与加权方法，常见价格／市值／等权加权。
科目二|基准分类与选择|固定目标是在问达没达标，指数基准是在问跑没跑赢可比市场。|**绝对收益基准**通常为固定目标，**相对收益基准**参照指数或组合；用SAMURAI检查适合、可衡量、明确、可投资等属性，并与管理责任一致。
科目二|标准化与定制化流程|标准产品是挑合适的成衣，定制产品是从客户需求开始裁剪。|**标准化**：管理人定策略→投资者选择；**定制化**：识别需求→投资政策→实施组合→反馈调整。定制并不取消风险和约束。
科目二|组织分工与投资流程|研究、拍板、管理组合和下单，各有负责的人。|**投委会**作总体决策；**研究部门**提供分析；**投资部门**构建组合；**交易部门**审核、执行、反馈。集中交易把投资决策与交易执行分离。
科目二|均值方差与分散化|收益按投入比例相加，风险还要看资产是否一起涨跌。|**均值—方差**框架同时比较预期收益和风险；相关性越低，其他条件相同时分散效果越强。有效前沿提供同风险下最高收益，最优组合再由投资者偏好决定。
科目二|CAL、CML与CAPM|混合投资看总波动，给证券要求回报时看它承担多少市场风险。|**CAL**连接无风险资产与某风险组合；**CML**采用市场组合，横轴为σ；**SML**表达CAPM，横轴为β。CML描述有效组合，SML用于证券或组合的均衡定价。
科目二|系统性风险与套利定价|分散能摊掉个别公司的意外，却挡不住整个市场一起变动。|**系统性风险**不能靠同市场分散完全消除；**非系统性风险**可以分散。β衡量相对市场敏感性；**APT**用多个共同因素解释收益。
科目二|市场有效性与行为金融|信息已经进了价格，单靠那类信息就难以持续占便宜。|**弱式**含历史交易信息；**半强式**含全部公开信息；**强式**含全部信息。行为金融从有限理性、心理偏差与套利限制解释偏离。
科目二|指数跟踪与跟踪误差|一次落后多少，与每次落后是否稳定，是两件事。|**跟踪偏离度＝基金收益−基准收益**；**跟踪误差＝该差值的标准差**。复制、抽样优化用于跟踪；费用、现金、成分调整、执行偏差产生误差。
科目二|主动股票与债券组合|主动管理要说明超额收益准备从哪里来，而不是只说“跑赢”。|股票主动来源：**选股、择时、行业与风格配置**；债券关注期限结构、久期、信用、流动性、杠杆。负债驱动策略区分所得免疫与价格免疫。
科目二|战略与战术配置|战略定长期底盘，战术根据短期判断作调整。|**战略配置**匹配长期目标；**战术配置**根据短期市场判断偏离。核心卫星把稳定核心与主动卫星结合；风险平价按风险贡献分配，不等于资金等分。
科目二|可持续投资与ESG|看企业赚钱之外，还看它怎样影响环境、社会和治理质量。|**E环境、S社会、G公司治理**纳入投资；方法包括整合、筛选、主题、影响力投资、积极所有权。评级依数据与方法，不同评级可不一致。
科目二|指令驱动与保证金交易|想尽快成交和想控制价格，会用不同的下单方式。|指令驱动按**价格优先、时间优先**撮合；市价、限价、止损指令的成交条件不同。融资买入、融券卖出使用杠杆，需管理保证金及追加要求。
科目二|最佳执行与交易成本|成交价便宜一点，不一定抵得过手续费、冲击和错失交易的代价。|最佳执行综合**价格、成本、速度、成交可能性**；显性成本为佣金、税费等，隐性成本含冲击、买卖价差、机会成本。
科目二|算法交易|大单拆着做可减少冲击，但拖太久又可能错过行情。|算法权衡**市场冲击与机会成本**；TWAP按时间分配，VWAP按成交量特征分配。速度只是执行质量的一部分。
科目二|交易管理与风险控制|下单后还要看成交结果，把问题反馈给下一次决策。|**策略→组合→交易→绩效反馈→风险控制**形成闭环；交易员独立复核、执行并反馈异常，不能绕过授权和集中交易制度。
科目二|投资风险及传导|卖不出去会逼着低价卖，净值跌又可能引来更多赎回。|市场、信用、流动性风险会传导；**识别→测量→监控→控制**持续管理。赎回压力、折价卖出、净值下跌可形成负反馈循环。
科目二|事前、事后与风险指标|看现在持有什么是在估未来，看过去怎么涨跌是在量历史。|**事前**看当前持仓与未来风险；**事后**看历史收益。σ衡量总波动，β衡量系统性风险，跟踪误差衡量相对基准波动，三者不能替代。
科目二|主动比重与下行风险|持仓有多不像基准、最惨跌过多少、低于目标时多不稳，是三把尺子。|**主动比重**看持仓差异；**最大回撤**看先峰后谷跌幅；**下行标准差**只看低于目标的偏离。主动比重高不代表收益高。
科目二|VaR、ES与压力测试|VaR画损失门槛，ES问越过门槛后平均多糟，压力测试设想极端事件。|**VaR**必须给持有期与置信水平；**ES**关注尾部损失；**压力测试**考察极端情景。VaR可用参数法、历史模拟、蒙特卡洛估计，不是最坏损失保证。
科目二|按基金类型管理风险|风险检查表，要随着买入的资产改变。|股票看集中度、行业、风格；债券看久期、信用、流动性；货币看平均剩余期限、回购、信用；跨境再加**汇率、海外市场、结算**。
科目二|评价目的与偏差|只看活下来的赢家，会把整体表现想得太好。|评价统一**区间、环境、风险、费用、风格**，兼顾规模；忽略已退出基金产生**幸存者偏差**。短期绝对收益不能代表稳定管理能力。
科目二|绝对收益与加权方法|评价经理的投资表现，与评价你何时投入多少钱，需要不同算法。|**持有期收益**看一次持有；**时间加权**连接子期，弱化外部现金流时点影响；**资金加权**用IRR，反映金额和时点。算术平均看单期平均，几何平均看复合增长。
