# 科目|考点|补充必背（用^^分条）|易混易错|理解速记；复习优先级不代表考试命题频率，例子为辅助理解。
科目一|风险管理体系与责任|风险流程为识别、评估、应对、监控与报告；应对可包括规避、降低、转移或在限额内接受风险。^^董事会承担最终责任，管理层组织实施，业务部门承担直接管理责任，风险管理部门提供独立专业支持和监督。|风险管理目标是把风险控制在可承受范围，不是完全消灭风险；投保或对冲也不能把全部责任一并转出。|风险题先问风险来自哪里，再问发生可能性和损失程度，最后选匹配的措施并持续监测。
科目一|市场、信用与流动性风险|市场风险来自股票、利率、汇率等价格不利变化；信用风险不仅有到期违约，还包括评级下降、信用利差扩大。^^流动性风险既包括资产难以按合理价格卖出，也包括资金不足无法满足赎回；集中持仓和期限错配会加剧压力。|有信用评级不等于无信用风险；账面盈利的资产也可能难以变现，流动性良好不意味着价格不波动。|案例：降息或股价变动看市场；发行人偿债恶化看信用；大量赎回被迫折价卖出看流动性。
科目一|操作、声誉及其他风险|操作风险来自内部流程、人员、系统或外部事件，如录单错误、系统故障、欺诈；声誉风险来自负面评价及其影响。^^洗钱和恐怖融资、子公司管控等风险需纳入整体体系，建立预案、权限控制、监测报告和应急处置。|市场正常下跌不自动属于操作失误；操作事件可能进一步引发声誉或法律风险，同一事件可产生多类风险。|沿因果链记“系统故障→交易差错→客户损失→负面舆情”，不要强行把事件只归入一种后果。
科目一|内控层次、目标和原则|三层控制包括岗位自控、部门相互制衡、独立监督；目标涵盖合规、经营效率和信息真实可靠。^^健全性强调覆盖全面，有效性强调执行落实，独立性强调适当分离，相互制约强调制衡，成本效益强调合理投入。|成本效益不等于为了省钱取消必要控制；制度写全不代表有效，部门独立也不等于不沟通。|原则题抓关键词：覆盖→健全，执行→有效，分离→独立，制衡→制约，投入产出→成本效益。
科目一|内控基本要素|控制环境是基础，风险评估识别目标实现的不确定性，控制活动落实授权、核对、岗位分离等措施。^^信息与沟通保障信息及时传递，内部监控评价控制运行并持续改进；五要素互相联系。|“内控原则”与“五要素”不是同一名单；审计监督不能代替日常岗位核对，信息系统建设也不等于全部内控。|记“环境定基调、评估找风险、活动设关卡、沟通送信息、监控促改进”。
科目一|主要业务控制|投研保持独立客观，投资决策与交易执行分离，指令授权、交易复核和异常反馈形成控制链。^^销售核对适当性，披露审核真实性和时效，IT管理权限及备份，会计独立核算，监察稽核独立检查。|基金经理不能越过集中交易和授权制度；紧急交易也不意味着可随意删除记录，技术外包不免除机构控制责任。|沿一笔投资检查“研究依据—决策权限—交易执行—估值入账—披露监督”，逐环寻找不相容岗位。
科目一|职业道德建设|六项核心规范依次为守法合规、诚实守信、专业审慎、客户至上、忠诚尽责、保守秘密，分别约束底线、诚信、能力、利益排序、履职和信息。^^职业道德建设依靠立法、监督、教育、宣传、警示和个人修养，既有外部约束也有自我约束。|职业道德不只是个人品质，也体现于专业行为；遵守法律是底线，不能推断所有合法行为都符合最高职业道德要求。|六字索引“法、诚、专、客、忠、密”；案例先找最直接触犯的义务，再检查有无同时违反其他义务。
科目一|守法合规|学习并遵守法律法规、监管规定、自律规则及机构内部制度；在授权范围内执业，发现违法指令依法依规处理。^^守法合规既包括知法，也包括执行和主动防范违规，不得以不知规定或服从上级作为当然免责理由。|“领导要求”“行业惯例”“客户同意”都不能替代合法依据；内部制度可以提出比最低法定要求更严格的约束。|遇到违法指令先识别、报告并按规定处理，不能先执行后用“只是下属”解释。
科目一|诚实守信|内幕交易利用内幕信息；利用未公开信息交易常涉及未公开的基金交易信息；操纵市场通过不当交易等影响价格或交易量。^^欺诈客户包括虚假陈述、重大遗漏和误导宣传；不正当竞争包括诋毁同业或以不当方式获取业务。|内幕信息与未公开基金持仓交易信息不能不加区分；未实际获利也不能推断不存在违规行为。|分别问“利用了什么信息、怎样影响市场、对客户说了什么”，按行为本质而非收益结果定性。
科目一|专业水准与审慎执业|保持资格和持续学习，具备适岗能力；研究、建议、投资决策须建立在充分调查和合理依据上。^^审慎要求独立客观分析、评估风险并留下必要记录，既不能无依据跟风，也不能盲目依赖第三方报告。|专业审慎不等于预测永远正确；亏损不自动证明失职，但没有调研依据的侥幸盈利也不证明尽责。|案例评价过程而非只看结果：资料是否充分、结论是否合理、风险是否评估、程序是否遵守。
科目一|客户利益优先与公平对待|存在利益冲突时，客户利益优先于机构和从业人员个人利益；交易和分配应公平对待不同客户、不同基金组合。^^充分了解客户目标、风险能力和期限，做好持续服务，不能为佣金或业绩偏向不适合的产品。|公平不是任何情形都机械平均分配，也不代表承诺客户盈利；对大客户优惠不能变成损害其他客户的利益输送。|题目出现抢先交易、优先照顾关系账户、为提成推高风险产品时，重点检查利益排序是否倒置。
科目一|忠诚廉洁与勤勉尽责|对持有人和所在机构忠实履职，妥善处理利益冲突，不利用职务谋取私利或收受不当利益。^^勤勉覆盖研究、投资、交易、风控、运营和监督各岗位；忠诚机构也必须以合法合规和客户利益为前提。|忠诚不等于帮助机构隐瞒违法；不收礼只是廉洁的一部分，懈怠尽调和失职同样违背尽责。|区分“故意谋私”与“疏于履职”，二者都可能违反本规范；不能用维护公司形象为隐瞒问题辩护。
科目一|保密范围与例外|保密对象包括国家、行业、机构、客户秘密和未公开信息，落实最小须知权限，离职后仍承担义务。^^依法公开、依法向监管司法机关提供或经客户允许等例外须符合范围与程序，不能超范围披露其他主体秘密。|客户允许并不授权泄露国家或其他客户秘密；向亲友透露未公开交易也属泄密，离职带走客户资料不能当然合法。|先判断信息归谁、是否公开、谁有权批准、披露给谁及用于何事；不要只问是否有商业价值。
科目一|中国特色金融文化|五组正反表述要成对记：诚实守信/不逾越底线，以义取利/不唯利是图，稳健审慎/不急功近利，守正创新/不脱实向虚，依法合规/不胡作非为。^^金融坚持以人民为中心、服务实体经济；价值导向要落实到治理、投资和服务，而非仅停留在宣传。|“以义取利”不是禁止合理利润，“守正创新”不是拒绝创新；它们强调收益与责任、创新与实体经济相统一。|背诵时用五个动词对照行为：“守信、取利、审慎、创新、合规”，再补各自“不……”的边界。
科目一|行业文化的意义|四个作用是行稳致远的立身之本、服务实体经济的内在要求、资本市场稳定发展的保障、防范金融风险的抓手。^^信义义务是管理人必须恪守的首要原则，要求客户利益优先、诚实守信、勤勉尽责。|行业文化并非只靠公益活动体现；追求规模和短期利润若损害投资者，与文化建设目标相冲突。|把意义对应“行业自身、实体企业、资本市场、金融安全”四个对象，防止只背抽象形容词。
